date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Dealer_Hedging_buy,Dealer_self_buy,Foreign_Investor_buy,Investment_Trust_buy,Dealer_Hedging_sell,Dealer_self_sell,Foreign_Investor_sell,Investment_Trust_sell
2017-06-09,2330,35190159,7505851237,214.5,215.0,212.0,212.0,-1.0,10657,359000.0,76638500.0,76649500.0,965.0,0.0,6482595.0,146.0,8126.0,7307.0,15.0,153.0,0.0,6482595.0,20.0,2500.0,2633.0,1142000.0,641000.0,24401400.0,170000.0,609000.0,497000.0,28686762.0,159000.0
2017-06-12,2330,63111746,13135046554,207.0,210.0,207.0,207.5,-4.5,22473,1557000.0,323280000.0,324821000.0,1263.0,0.0,6482595.0,304.0,9085.0,8126.0,16.0,326.0,0.0,6482595.0,14.0,2188.0,2500.0,1726000.0,2927000.0,19380138.0,196000.0,292000.0,74000.0,59215833.0,173000.0
2017-06-13,2330,49983303,10381567507,207.0,208.5,206.5,208.0,0.5,13236,949000.0,196692000.0,197449500.0,561.0,1.0,6482595.0,123.0,9522.0,9085.0,1.0,190.0,0.0,6482595.0,17.0,2015.0,2188.0,1612000.0,973000.0,20127100.0,13000.0,226000.0,176000.0,41729533.0,148000.0
2017-06-14,2330,39083899,8113132831,208.5,209.5,206.0,207.0,-1.0,11304,794000.0,164745000.0,164360000.0,475.0,1.0,6482595.0,455.0,9541.0,9522.0,2.0,154.0,3.0,6482595.0,20.0,1878.0,2015.0,678000.0,626000.0,16973000.0,318000.0,960000.0,855000.0,32116540.0,8000.0
2017-06-15,2330,19486457,4046560581,207.5,208.0,207.0,208.0,1.0,6497,530000.0,109947500.0,110013000.0,210.0,10.0,6482595.0,197.0,9544.0,9541.0,5.0,25.0,3.0,6482595.0,22.0,1872.0,1878.0,435000.0,245000.0,14674000.0,6000.0,517000.0,357000.0,13342106.0,674000.0
2017-06-16,2330,32856536,6902455266,207.5,212.0,207.0,211.5,3.5,9683,1896000.0,397314000.0,399703000.0,801.0,23.0,6482595.0,1031.0,9291.0,9544.0,1.0,286.0,17.0,6482595.0,26.0,1595.0,1872.0,1085000.0,1795000.0,18311438.0,916000.0,646000.0,1060000.0,19328964.0,25000.0
2017-06-19,2330,17489571,3712290873,211.0,213.0,210.5,213.0,1.5,5658,865000.0,182987500.0,183745500.0,352.0,1.0,6482595.0,286.0,9356.0,9291.0,4.0,368.0,6.0,6482595.0,14.0,1235.0,1595.0,285000.0,879000.0,11374346.0,34000.0,303000.0,205000.0,11388947.0,406000.0
2017-06-20,2330,28784100,6229988043,215.0,218.0,214.5,216.5,3.5,9135,1744000.0,377147000.0,378210500.0,1505.0,4.0,6482595.0,595.0,10262.0,9356.0,0.0,1181.0,10.0,6482595.0,0.0,44.0,1235.0,206000.0,488000.0,11732963.0,150000.0,982000.0,1450000.0,12934000.0,217536.0
2017-06-21,2330,45384482,9793828804,216.0,217.0,214.5,215.5,-1.0,12233,884000.0,190386500.0,190838500.0,451.0,12.0,6482595.0,717.0,9984.0,10262.0,0.0,0.0,44.0,6482595.0,0.0,0.0,44.0,1849000.0,4562000.0,24663283.0,77000.0,631000.0,443000.0,33414561.0,167000.0
2017-06-22,2330,26094649,5674049232,217.0,218.0,216.5,218.0,2.5,7559,356000.0,77296000.0,77494500.0,463.0,1.0,6482595.0,896.0,9550.0,9984.0,0.0,0.0,0.0,6482595.0,0.0,0.0,0.0,551000.0,3000000.0,14078112.0,276000.0,144000.0,77000.0,13534952.0,54000.0
